name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
captures/contiguous-letters,count-captures,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,"failed to run command for 'rust/regex/pikevm/noAcc', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
captures/contiguous-letters,count-captures,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,"failed to run command for 'rust/regex/pikevm/accOnce', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
captures/contiguous-letters,count-captures,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,"failed to run command for 'rust/regex/pikevm/accEmptyStates', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
captures/contiguous-letters,count-captures,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,"failed to run command for 'rust/regex/pikevm/accOneAhead', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/01-literal/sherlock-en,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,,899232,244,4.55s,12.25ms,14.04us,12.32ms,241.63us,12.23ms,14.36ms
curated/01-literal/sherlock-en,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,,899232,13643,4.57s,219.21us,251.00ns,219.84us,3.35us,218.33us,334.25us
curated/01-literal/sherlock-en,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,,899232,13646,4.54s,218.96us,125.00ns,219.79us,3.02us,218.58us,271.50us
curated/01-literal/sherlock-en,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,,899232,15904,4.56s,187.92us,209.00ns,188.58us,2.69us,187.25us,253.75us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,,899232,170,4.57s,17.69ms,16.73us,17.71ms,56.95us,17.66ms,17.99ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,"count mismatch, expected 522, got 513",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,"count mismatch, expected 522, got 513",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,"count mismatch, expected 522, got 513",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/01-literal/sherlock-ru,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,,1570556,103,4.59s,29.38ms,22.67us,29.39ms,53.97us,29.34ms,29.77ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,,1570556,5867,4.51s,509.58us,625.00ns,511.31us,4.55us,508.08us,578.83us
curated/01-literal/sherlock-ru,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,,1570556,5858,4.51s,510.38us,1.17us,512.12us,4.96us,507.58us,588.83us
curated/01-literal/sherlock-ru,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,,1570556,8617,4.54s,346.92us,125.00ns,348.10us,3.66us,346.50us,411.54us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,,1570556,96,4.58s,31.47ms,37.02us,31.51ms,114.66us,31.40ms,31.95ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,"count mismatch, expected 746, got 724",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,"count mismatch, expected 746, got 724",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,"count mismatch, expected 746, got 724",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/01-literal/sherlock-zh,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,,813478,247,4.57s,12.17ms,12.87us,12.17ms,42.21us,12.14ms,12.50ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,,813478,65592,4.55s,45.50us,42.00ns,45.67us,1.03us,45.29us,98.75us
