name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
captures/contiguous-letters,count-captures,0.1.0 (rev be8b1354b8),python/re,3.12.3,,61436,128,4.56s,23.41ms,121.04us,23.55ms,244.49us,23.19ms,24.10ms
captures/contiguous-letters,count-captures,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,61436,461,4.56s,6.52ms,50.28us,6.51ms,72.93us,6.28ms,6.68ms
captures/contiguous-letters,count-captures,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,61436,616,4.56s,4.88ms,15.28us,4.88ms,22.54us,4.81ms,4.95ms
curated/01-literal/sherlock-en,count,0.1.0 (rev be8b1354b8),python/re,3.12.3,,899232,14685,4.56s,203.87us,543.00ns,204.01us,2.91us,201.54us,492.50us
curated/01-literal/sherlock-en,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,899232,155566,4.56s,19.24us,55.00ns,19.25us,235.00ns,18.96us,44.43us
curated/01-literal/sherlock-en,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,899232,156748,4.56s,19.10us,42.00ns,19.11us,198.00ns,18.82us,36.95us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev be8b1354b8),python/re,3.12.3,,899232,1252,4.56s,2.39ms,18.32us,2.40ms,39.50us,2.35ms,2.62ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,899232,42945,4.56s,69.72us,62.00ns,69.83us,483.00ns,69.41us,96.02us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,899232,39842,4.56s,75.24us,224.00ns,75.27us,511.00ns,74.58us,102.11us
curated/01-literal/sherlock-ru,count,0.1.0 (rev be8b1354b8),python/re,3.12.3,,1570556,15942,4.56s,187.48us,625.00ns,187.82us,2.84us,186.38us,505.30us
curated/01-literal/sherlock-ru,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,1570556,86497,4.56s,34.57us,91.00ns,34.65us,500.00ns,33.73us,65.40us
curated/01-literal/sherlock-ru,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,1570556,71092,4.56s,47.87us,360.00ns,42.17us,6.78us,33.98us,71.60us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev be8b1354b8),python/re,3.12.3,,1570556,1103,4.56s,2.69ms,84.24us,2.72ms,123.66us,2.59ms,3.28ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,1570556,19471,4.56s,153.93us,744.00ns,154.06us,1.47us,150.81us,194.90us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,1570556,19558,4.56s,152.96us,0.99us,153.36us,1.78us,150.13us,189.29us
curated/01-literal/sherlock-zh,count,0.1.0 (rev be8b1354b8),python/re,3.12.3,,813478,49395,4.56s,60.35us,49.00ns,60.45us,1.54us,60.16us,385.11us
curated/01-literal/sherlock-zh,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,813478,197357,4.61s,15.15us,25.00ns,15.17us,187.00ns,15.00us,32.06us
curated/01-literal/sherlock-zh,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,813478,197568,4.61s,15.13us,25.00ns,15.16us,188.00ns,14.96us,41.54us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev be8b1354b8),python/re,3.12.3,,899232,1808,4.56s,1.66ms,0.97us,1.66ms,10.44us,1.65ms,2.00ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,899232,47827,4.56s,62.53us,73.00ns,62.69us,484.00ns,62.27us,86.46us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,899232,47731,4.56s,62.86us,265.00ns,62.82us,630.00ns,62.02us,103.36us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev be8b1354b8),python/re,3.12.3,,899232,201,4.56s,14.96ms,79.76us,14.95ms,122.67us,14.51ms,15.25ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,899232,11733,4.51s,255.33us,743.00ns,255.66us,1.79us,252.58us,305.88us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,899232,11589,4.51s,258.66us,787.00ns,258.85us,1.38us,255.52us,285.33us
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev be8b1354b8),python/re,3.12.3,,1570556,1054,4.56s,2.85ms,3.94us,2.85ms,9.49us,2.82ms,2.89ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,1570556,15095,4.51s,198.47us,699.00ns,198.72us,1.43us,195.62us,220.89us
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,1570556,14975,4.56s,199.98us,783.00ns,200.31us,1.94us,196.37us,234.42us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev be8b1354b8),python/re,3.12.3,,1570556,143,4.56s,21.01ms,38.12us,21.01ms,59.04us,20.85ms,21.17ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,1570556,3557,4.51s,844.22us,5.90us,843.57us,7.32us,827.59us,881.11us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,1570556,3551,4.51s,845.25us,5.26us,844.87us,7.18us,827.99us,925.39us
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev be8b1354b8),python/re,3.12.3,,813478,4923,4.56s,609.17us,446.00ns,609.12us,5.23us,607.08us,0.96ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,813478,60046,4.56s,49.86us,35.00ns,49.93us,394.00ns,49.66us,79.86us
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,813478,60025,4.56s,49.75us,142.00ns,49.95us,445.00ns,49.51us,79.99us
curated/03-date/ascii,count-spans,0.1.0 (rev be8b1354b8),python/re,3.12.3,,268796,14,4.56s,215.57ms,54.05us,215.57ms,112.20us,215.36ms,215.78ms
curated/03-date/ascii,count-spans,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,268796,1874,4.51s,1.61ms,8.55us,1.60ms,14.96us,1.55ms,1.65ms
curated/03-date/ascii,count-spans,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,268796,1878,4.51s,1.60ms,7.72us,1.60ms,13.91us,1.55ms,1.64ms
